label	definition	caption
metro leaving	The rumbling and screeching sound produced by a metro train as it departs from a station, often accompanied by the clanging of brakes and doors.	
Wild animals	A diverse range of vocalizations and sounds produced by various wild animals, such as roars, calls, chirps, and growls, typically heard in natural environments like forests, grasslands, or wetlands.	
Fixed-wing aircraft, airplane	The steady, rhythmic hum or buzz generated by the engines of a fixed-wing aircraft, often accompanied by the sound of flaps or landing gear, typically heard during takeoff, landing, or flight.	
Computer keyboard	A mechanical device with keys that produce distinct tactile and auditory feedback when pressed, often used for inputting text and commands into a computer.	
Car horn	The loud, sharp sound emitted by a car horn, used to signal danger, warning, or attention, often heard in urban environments or on busy roads.	
Tap	A short, sharp sound produced by striking a hard surface with a tool or object, typically heard in construction sites, workshops, or when assembling furniture.	
motorcycle/engine_idling	The steady, rhythmic hum or buzz produced by a motorcycle engine when it is running at a low speed, often heard in urban areas or on highways.	
Power tool	The high-pitched, whirring sound produced by various power tools such as saws, drills, or sanders, typically heard in construction sites, workshops, or woodworking areas.	
Human voice	A complex, versatile vocalization produced by humans, characterized by a wide range of pitch, tone, and inflection, often used for communication, expression, or entertainment.	
Frog	A distinctive, high-pitched vocalization produced by frogs, characterized by a rapid, rhythmic pattern of croaking or trilling, often heard in natural environments like wetlands, forests, or near bodies of water.	
Raindrop	A single droplet of water striking a surface, producing a short, sharp sound, often heard during rainfall.	
Domestic_sounds_and_home_sounds	A collection of sounds produced within a household or residential setting, including appliances, footsteps, and conversations.	
Bicycle_bell	A metallic ringing sound produced by a bicycle bell, used to signal the presence of a cyclist and alert others to their approach.	
Car passing by	A rhythmic, metallic sound produced by the engine and wheels of a car as it passes by, typically heard on roads or highways.	
Waves, surf	The continuous, rolling sound of waves crashing against the shore or each other, characterized by their rhythmic patterns and varying intensity, often heard at beaches or coastal areas.	
Speech synthesizer	An electronic device that converts text into spoken words, characterized by its synthetic and robotic-sounding voice.	
Sliding_door	A type of door that moves horizontally on a track, often heard in public transportation systems, characterized by its metallic clanging sound when opening and closing.	
Growling	A deep, rumbling sound produced by certain animals, especially dogs, when they are agitated, threatened, or hungry, often associated with their teeth-bearing or snarling actions.	
Chicken_and_rooster	The distinct, rhythmic clucking and crowing sounds produced by chickens and roosters, often heard in agricultural settings or backyards.	
crying_baby	The pitched, mournful cries of an infant, often heard in homes, hospitals, or daycare centers, associated with feelings of sadness, loss, or discomfort.	
dog-barking-whining	The loud, high-pitched vocalizations produced by dogs, characterized by variations in pitch, intensity, and rhythm, often heard in urban or suburban environments.	
Traffic noise, roadway noise	A complex mixture of sounds produced by vehicles, pedestrians, and other roadside activities, characterized by a variety of pitches, rhythms, and intensities. Typically heard in urban or suburban areas with heavy traffic.	
Trumpet	A brass instrument producing a bright, piercing sound, often used in fanfares, parades, or jazz music. The trumpet's distinctive, high-pitched notes are typically associated with fanfare or fanfare-like music.	
Stationary music	Background music that remains relatively constant in volume and tempo, often played in public spaces like shopping centers, restaurants, or hotels. The music is designed to create a specific atmosphere or mood, such as relaxation or productivity.	
Toilet flush	A short, rhythmic sound produced by the movement of water through a toilet bowl, typically heard in bathrooms.	
Crying_and_sobbing	A series of loud, high-pitched vocalizations characterized by rapid, rhythmic breathing and intense emotional expression, often heard in intimate or somber settings.	
Male_singing	A melodic vocalization produced by male vocal cords, characterized by unique pitch, rhythm, and timbre, often heard in musical performances or social gatherings.	
cupboard	A wooden or metal box with doors and shelves, used for storing kitchen utensils, dishes, and other household items. The sound of a cupboard door opening or closing is typically a soft, metallic clang or creak.	
Idling	The sound of an engine running at low speed, typically heard when a vehicle is parked or warming up. The sound is characterized by a steady, rhythmic hum or buzz.	
Video game/TV	The audio output from a video game console or television, featuring sound effects, music, and dialogue. The sound is often a mix of various audio elements, including background music, sound effects, and voiceovers. The context of this sound is typically a living room or gaming area, with the device in use.	
Jackhammer	A loud, rhythmic, metallic sound produced by a jackhammer tool, typically used for breaking concrete or demolition work. Often heard in construction sites or areas with heavy machinery.	
Cough	A dry, hacking sound produced by the respiratory system, often accompanied by a clearing of the throat. Typically heard in indoor environments, such as homes, offices, or public spaces, and may indicate illness or discomfort.	
car/engine_idling	A low-level humming or buzzing sound produced by a car engine when it is running at a low speed or idle.	
Slam	A loud, sharp, and sudden sound created by the impact of an object hitting a hard surface, often accompanied by a resonant echo.	
Shouting	A loud, high-pitched vocalization characterized by rapid, staccato syllables and a strong, forceful tone, typically used for expressing strong emotions or drawing attention.	
Accelerating, revving, vroom	The sound of an engine revving up or accelerating, characterized by a rhythmic, high-pitched noise. Often heard in cars, motorcycles, or other vehicles as they gain speed.	
Rail transport	The sound of trains moving along rails, characterized by a steady, rhythmic clacking or clicking noise. Often heard in urban or rural areas with rail infrastructure.	
Yell	A loud, high-pitched vocalization produced by forcefully expelling air from the lungs. Often used for communication, warning, or expressing emotion.	
Bicycle	A two-wheeled vehicle propelled by pedaling, characterized by the rhythmic clacking of the chain and the occasional scraping of the brake pads on the rim.	
Throat clearing	A vocalization used to clear the throat, characterized by a short, sharp sound similar to a cough or a clearing of the throat, often heard in social settings or during public speaking.	
Chirp, tweet	Short, high-pitched vocalizations produced by birds, characterized by rapid, staccato bursts of sound, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Gunshot, gunfire	The sharp, explosive sound generated by the discharge of a firearm, distinguished by its short duration and high intensity, often heard in urban or rural settings where firearms are used, such as gun ranges, hunting grounds, or war zones.	
Shout	Loud, resonant vocalizations created with a strong, forceful voice, characterized by high pitch and intensity, often used for communication, warning, or expressing emotions, typically heard in public spaces like streets, sports arenas, or theaters.	
Chewing, mastication	The rhythmic crunching and grinding of food between teeth, characterized by variations in speed, intensity, and pattern, typically heard in kitchens or dining areas.	
Crackle	A sharp, crackling sound produced by the movement of air or other gases through a narrow space, often heard in electronic devices or during a fireworks display.	
Music	A form of art that uses sound and rhythm to create a composition, often characterized by melody, harmony, and rhythm, and typically associated with cultural or social contexts.	
walking	Rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	
Boat, Water vehicle	The sound of water lapping against the sides of a boat, characterized by a rhythmic, splashing pattern. Often heard in natural environments like lakes, rivers, or oceans, especially when the boat is in motion.	
Car alarm	A loud, piercing sound emitted by a car's alarm system, typically triggered by a door being left ajar or a window being smashed. Often heard in urban or suburban areas, near parked cars, signaling an alarm or warning.	
washing machine	A mechanical appliance used for cleaning clothes, characterized by rhythmic, repetitive sounds produced by water and fabric movement.	
Female singing	A melodic vocalization produced by a female, characterized by unique vocal characteristics and emotional expression, often heard in music performances or social gatherings.	
car_horn	A loud, high-pitched sound emitted by a car's horn, used for warning or signaling, typically heard in urban environments or during traffic congestion.	
burning fire	A fire that produces a warm, crackling sound, characterized by its steady, rhythmic pattern and occasional popping or hissing noises. Often heard in enclosed spaces like living rooms, kitchens, or fireplaces, where wood or other combustible materials are being burned.	
Motor vehicle (road)	The sound of a motor vehicle traveling on a road, characterized by its steady hum or roar, punctuated by occasional revving or honking. Often heard in urban or suburban areas, where cars, trucks, or buses are moving on paved roads.	
Large rotating saw	The sound of a large rotating saw cutting through wood or other materials, characterized by its high-pitched whirring or buzzing noise. Often heard in construction sites, workshops, or woodworking studios, where large saws are being used to cut large pieces of wood or other materials.	
Glass	A transparent, brittle material commonly used in various containers, characterized by its high-pitched, ringing sound when struck or broken.	
Tabla	A pair of hand drums used in Indian classical music, characterized by their sharp, metallic sound when struck. The tabla consists of two drums, the dayan and the tabla, which produce different pitches and tones when played together or separately.	
Rain	A continuous, rhythmic pattering or drumming sound produced by raindrops hitting various surfaces, such as roofs, windows, or leaves. Often heard during rainfall, especially in urban or suburban areas.	
Coin (dropping)	The metallic clang or ringing sound produced when a coin lands on a hard surface, such as a countertop or floor. Often heard in retail settings, like coin-operated machines or cash registers, or in everyday life when coins are dropped.	
Cheering	Enthusiastic vocalizations characterized by clapping, shouting, and chanting, often heard during sporting events, concerts, or celebrations.	
Chirp_and_tweet	Short, melodic vocalizations produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Mechanisms	The rhythmic, metallic clanking or grinding sounds produced by machinery, vehicles, or tools, often associated with industrial or mechanical settings.	
Cupboard open or close	The distinct, sharp sound of a cupboard door opening or closing, typically heard in kitchens or living spaces, signaling the access or closure of storage containers.	
Insect	A diverse range of sounds produced by insects, including buzzing, chirping, clicking, and humming. Often heard in natural environments like forests, grasslands, or gardens, where insects are active.	
frog	A small, moist-skinned amphibian with a distinctive croaking sound, often found near bodies of water in forests, grasslands, or wetlands.	
Hands	The human hand, characterized by opposable thumbs and fingers, capable of grasping, manipulating, and creating sound through actions like clapping, drumming, or strumming.	
cutlery	A set of flatware, including spoons, forks, and knives, designed for eating and serving food, typically made of metal and characterized by distinct clinking sounds when struck together.	
Bowed string instrument	A musical instrument played by drawing a bow across strings, producing a rich, resonant sound. Often associated with classical music and orchestras, but can also be found in various genres.	
(object) rustling	A soft, gentle sound created by the movement of leaves, paper, or other light materials. Typically heard in natural environments like forests, parks, or gardens, especially during breezy conditions.	
Dog barking	A loud, rhythmic vocalization produced by dogs, characterized by a variety of pitches and tones, often used for communication, warning, or play.	
Power_tool	The high-pitched, whirring sound generated by power tools, such as saws, drills, or sanders, while they are in operation, typically heard in construction sites or workshops.	
Tick-tock	A rhythmic, steady sound produced by a clock or other timekeeping device, characterized by a distinct ticking and tocking sound. Often heard in homes, offices, or public spaces where time is kept.	
Cymbal	A metallic percussion instrument, typically struck with a mallet, producing a sharp, resonant sound. Often used in orchestras, bands, or percussion ensembles, and can be heard in various musical genres.	
Boiling	The sound of liquid bubbling and frothing as it heats up, characterized by a hissing, crackling, or popping noise. Typically heard in kitchens or cooking areas, signaling the process of boiling.	
babycry	A high-pitched, emotional vocalization produced by infants, characterized by rapid, irregular breathing and vocalizations that express a range of emotions, often heard in homes, hospitals, or daycare centers.	
Adult female speech	A complex, rhythmic vocalization produced by adult females, characterized by variations in pitch, tone, and intonation, often used for communication, expressing emotions, or narrating stories, commonly heard in social settings, workplaces, or educational institutions.	
Typewriter	A mechanical device that produces text by striking a series of keys, generating a distinct, rhythmic, and tactile sound, often associated with the era of manual typewriting, heard in libraries, writing rooms, or offices.	
Ocean	The deep, continuous sound of waves crashing against the shore, characterized by rhythmic patterns and varying intensities, often heard in coastal areas. Context: A sandy beach, rocky shoreline, or a pier overlooking the ocean.	
Drawer_open_or_close	The sound of a drawer opening or closing, characterized by a distinct click or clack, often heard in kitchens or home offices. Context: A wooden drawer in a kitchen cabinet or a metal drawer in a home office.	
Crying, sobbing	The sound of tears falling from the eyes, characterized by a mournful, high-pitched wail, often heard in intimate settings or during emotional moments. Context: A person sitting alone in a dimly lit room, holding a tissue or a photo, expressing grief or sadness.	
window	A sound produced by the movement of air through a window, characterized by a soft, rhythmic tapping or scratching noise. Often heard in urban environments, especially in tall buildings or apartments.	
footsteps	Rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	
Bell	A sound produced by the vibration of a metal object, typically a clapper or a rope attached to a tower, resulting in a sharp, resonant ringing. Often heard in religious or ceremonial contexts, such as church bells or fire alarms.	
Crash_cymbal	A sharp, metallic sound produced by striking two cymbals together, often heard in orchestras, jazz music, or percussion performances. Typically occurs in enclosed spaces like concert halls or recording studios.	
Microwave_oven	A high-frequency electromagnetic radiation used for heating or cooking food. Characterized by a beeping sound and a humming noise when in operation. Typically found in kitchens or dining areas.	
Boom	A loud, explosive sound often accompanied by a sharp crackling or echoing noise. Typically heard during fireworks displays, explosions, or gunfire. Often occurs in outdoor environments like parks or sports arenas.	
thunderstorm	The deep, rumbling sound generated by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises. Typically occurs during thunderstorms, when lightning strikes and atmospheric conditions trigger sudden air expansion, resulting in the characteristic thunderous reverberation.	
truck/compressor	The rhythmic, pulsating sound produced by the engine of a truck or compressor, characterized by variations in speed and intensity. Often encountered in industrial or construction settings, originating from vehicles or machinery.	
Gunshot_and_gunfire	The sharp, explosive sound produced by the discharge of a firearm, characterized by a short, high-pitched burst of sound followed by a sharp echo. Typically heard in urban or rural environments, originating from gunfire or firearm training exercises.	
large-sounding-engine	A powerful, loud engine with a distinctive rumbling sound, typically found in heavy machinery or vehicles.	
Writing	The sound of a pen or pencil scratching against paper, accompanied by the occasional click of the pen cap or the rustle of pages. Often heard in quiet study or writing environments.	
Rock drill	The rhythmic, high-pitched sound produced by a rock drill as it chisels through rock or concrete. Typically heard in construction sites or mining operations.	
Fart	A short, sharp sound produced by the expulsion of gas from the digestive system, typically heard in bathrooms or other private spaces.	
car/wheel_rolling	The rhythmic sound of car wheels rolling on a paved surface, often heard in urban environments or on highways.	
Smash, crash	A loud, sharp sound resulting from two objects colliding violently, typically heard in construction sites, accidents, or sports events.	
Chuckle, chortle	A light, short burst of laughter characterized by a series of quick, high-pitched sounds, often used in informal or playful situations.	
Screaming	A loud, intense vocalization marked by high-pitched shrieks and rapid, rhythmic bursts of sound, typically associated with sudden shock, fear, or anger.	
Engine starting	The distinct, rumbling sound produced by an internal combustion engine as it ignites and begins to operate, often heard in urban or industrial settings.	
Telephone	A device used for communication through speech and sound, characterized by its ringing and dialing sounds. Typically heard in homes, offices, or public spaces.	
Telephone dialing, DTMF	The process of entering a phone number using a keypad with buttons, producing a series of distinct tones or beeps. Often heard in homes, offices, or public spaces when someone is making a phone call.	
Packing tape, duct tape	Adhesive tape used for sealing, reinforcing, or labeling packages, boxes, or other objects. Often heard as a distinct, rustling sound when applied or removed.	
Dishes_and_pots_and_pans	A collection of kitchenware used for cooking, serving, and storing food. Typically produces a clattering or clinking sound when dishes are washed, dried, or placed on a surface.	
Frying	The process of cooking food in hot oil or on a heated surface, resulting in a crispy exterior and a tender interior. Often accompanied by a distinct sizzling and popping sound, heard in kitchens or cooking areas.	
Sneeze	A sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a nasal twitch. Typically heard in indoor environments, such as homes, offices, or public spaces, when someone is experiencing a cold, allergy, or other respiratory irritation.	
Mobile music	A type of music played on mobile devices, such as smartphones or tablets, characterized by its portability and accessibility. Often heard in various settings, including public transportation, cafes, or parks, as people listen to their favorite tunes on the go.	
Bus	A large, motorized vehicle designed for transportation of passengers, characterized by its metallic structure, wheels, and seating. Typically heard in urban environments, where buses travel along designated routes, emitting a distinctive rumbling sound.	
Subway, metro, underground	The rhythmic clanging of metal on metal, accompanied by the hum of engines and the occasional screeching of brakes, heard in subway systems, metros, or underground trains.	
Motor_vehicle_(road)	The steady, rhythmic sound of a motor engine, often accompanied by the hum of tires on asphalt, heard on roads, highways, or parking lots.	
Mallet_percussion	The sharp, resonant sound produced by striking a mallet against a metal or wooden surface, often used in percussion instruments or construction work, heard in music studios, workshops, or construction sites.	
Bass_drum	A deep, resonant percussion instrument with a distinctive, booming sound, often used in rock, jazz, and electronic music.	
Screech	A high-pitched, piercing sound produced by metal on metal or other materials rubbing together, commonly heard in brakes, alarms, or construction sites.	
Church_bell	A metallic, sonorous tolling sound produced by a church bell, typically heard in urban or suburban areas near religious institutions, signaling the start of services or other important events.	
Stream, river	The continuous flow of water over rocks, pebbles, or other obstacles, characterized by a rhythmic splashing or gurgling sound, often heard in natural environments like forests, parks, or mountains.	
Fire	A rapid, intense combustion process that produces heat, light, and sound, often characterized by crackling, popping, or hissing noises, typically heard in residential or industrial settings where fires are occurring.	
Whoosh_and_swoosh_and_swish	A series of short, high-pitched whistling sounds, often heard in windy conditions or when air is rapidly moving through narrow passages, such as in a whistle or a wind instrument.	
Brass instrument	A musical instrument made primarily of brass, characterized by its rich, resonant sound and the ability to produce a wide range of notes through the use of a player's lips and mouth. Common brass instruments include trumpets, trombones, and tubas.	
other-unknown-powered-saw	A high-pitched, oscillating sound produced by an unknown-powered saw, typically heard in construction sites or workshops.	
Helicopter	The steady, rhythmic hum of a helicopter, characterized by its rotor blades and engine, often heard in urban or rural areas with helicopter activity.	
Bicycle bell	A sharp, metallic sound produced by a bicycle bell, typically heard in urban or suburban areas, signaling the presence of a cyclist or warning of an approaching vehicle.	
snoring	A rhythmic, low-pitched sound produced by the vibration of soft tissues in the throat during sleep, often heard in bedrooms or sleeping areas.	
drinking_sipping	The sound of liquid being drawn from a container, typically characterized by a soft, continuous sucking noise, often heard in kitchens, cafes, or bars.	
Alarm_bell_ringing	A loud, metallic sound produced by the vibration of a metal object, typically heard in residential or commercial settings as a warning or alert, often accompanied by a buzzing or chirping sound.	
Pig	A low, grunting sound produced by a pig, characterized by its rhythmic, repetitive nature and distinct timbre, often heard in agricultural settings or on farms.	
Harp	A stringed musical instrument played by plucking or strumming the strings, producing a melodic, resonant sound. Typically associated with folk or classical music, and often heard in concert halls or music studios.	
Electric shaver, electric razor	An electric grooming device used for shaving facial or body hair, producing a high-pitched, vibrating sound. Often used in bathrooms or grooming rooms, and associated with personal hygiene and grooming routines.	
people speaking	Rhythmic vocalizations produced by humans, characterized by variations in pitch, tone, and rhythm, often heard in social settings like cafes, libraries, or public spaces.	
Tools	Metallic or wooden objects designed for specific tasks, characterized by distinct sounds when struck, scraped, or manipulated, often heard in workshops, construction sites, or crafting environments.	
dog_bark	Loud, resonant vocalizations produced by dogs, characterized by unique patterns, pitches, and rhythms, often heard in domestic or wild environments, especially during alarms, greetings, or territorial defense.	
Medium engine (mid frequency)	A steady, rhythmic hum or buzz produced by a medium-sized internal combustion engine, typically heard in vehicles or machinery.	
Door	A wooden or metal object with a hinged frame, designed to open and close to provide access to a room or space. Typically heard when it is opened or closed, producing a creaking or squeaking sound.	
Other identifiable sounds	Sounds that are easily distinguishable and can be identified by their unique characteristics, such as pitch, rhythm, or timbre. These sounds may be produced by various objects, animals, or activities, and can provide valuable information about their location, context, or function.	
Whoosh, swoosh, swish	A series of short, high-pitched sounds produced by the movement of air over a smooth surface. Often heard when a door or window is opened or closed, or when a curtain or blind is moved. Can also be produced by the movement of fabric or other materials, such as a fan or a brush.	
Finger_snapping	A sharp, rhythmic sound produced by rapidly snapping the fingers together, often heard in various settings like music performances, offices, or homes.	
Strum	A melodic, percussive sound created by rapidly plucking or striking strings on a musical instrument, commonly heard in guitar music, folk songs, or pop songs.	
Footsteps	Rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	
Chicken, rooster	The distinct, high-pitched vocalizations produced by male chickens, often described as a 'clucking' or 'crowing' sound. Typically heard in rural or suburban areas, where chickens are kept for farming or as pets, especially during early morning or dusk.	
car/brakes	The sharp, metallic screeching sound produced by car brakes when they are applied, typically heard during sudden stops or turns.	
amplified-speech	The amplified, clear, and resonant sound of a speaker's voice, often used for public addresses, announcements, or performances.	
Mechanical fan	The steady, rhythmic sound of a mechanical fan, commonly heard in air-conditioned spaces, offices, or industrial settings.	
Bird chirping	Melodic vocalizations produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Acoustic guitar	A stringed musical instrument with a hollow body, played by plucking or strumming the strings, producing a rich, resonant sound, often associated with folk, pop, or rock music.	
Harmonica	A wind instrument consisting of a metal tube with a diatonic scale, played by blowing or drawing air across the reeds, producing a distinctive, expressive sound, often associated with blues, jazz, or rock music.	
Bathtub (filling or washing)	The sound of water filling or washing in a bathtub, characterized by a steady, rhythmic flow and splashing. Typically heard in bathrooms, often during bathing or cleaning the tub.	
other	Class label for sounds that do not fit into any of the other categories.	
Domestic sounds, home sounds	A collection of sounds produced within a residential setting, such as footsteps, appliances, and conversations. These sounds often indicate daily activities and routines within a household.	
Splash_and_splatter	The sound of water splashing and splattering against a surface, often heard in pools, showers, or waterfalls.	
Burping, eructation	The sound of gas being expelled from the mouth through belching or burping, characterized by a sharp, short burst of sound followed by a hiss or fizz.	
large_vehicle	The rumbling, low-frequency sound produced by a large vehicle, such as a truck or bus, typically heard on highways or in urban areas.	
Scratching_(performance_technique)	A percussive sound produced by rubbing two surfaces together, often used in musical performances or as a rhythmic element in dance or percussion.	
Hose pump	A mechanical device used to pressurize and pump water through a hose, characterized by a rhythmic, pulsating sound.	
other-unknown-impact-machinery	An unidentified machine producing a rhythmic, impact-like sound, typically encountered in industrial or construction settings.	
announcement	A clear, authoritative voice broadcasting an important message or advertisement, often heard in public spaces like airports, train stations, or shopping centers.	
shopping cart	The metallic clanging and rolling sound produced by a shopping cart as it moves along a hard surface, typically heard in supermarkets, department stores, or other retail environments.	
Crumpling_and_crinkling	The crisp, rustling sound produced by paper being crumpled or folded, often heard in offices, homes, or other paper-handling environments.	
Keyboard_(musical)	A musical instrument consisting of keys that, when pressed, produce a specific note or sound. Often used in various genres of music, including classical, jazz, and pop.	
Drum	A percussion instrument played by striking or shaking it, producing a sharp, resonant sound. Drums are commonly used in various genres of music, including rock, jazz, and world music.	
Rattle (instrument)	A percussion instrument made of metal or wood, characterized by its rattling or shaking sound when struck or shaken. Often used in traditional music and percussion ensembles.	
Typing	The rhythmic, repetitive sound produced by the impact of fingers on a keyboard or typewriter, often heard in offices, schools, or homes. Context: Typically occurs when someone is typing on a computer or typewriter.	
Sliding door	The smooth, metallic sound produced by a sliding door as it opens or closes, often heard in public spaces like airports, train stations, or shopping centers. Context: Typically occurs when a sliding door is being operated.	
Alarm clock	The loud, piercing sound produced by an alarm clock, often heard in homes or hotels. Context: Typically occurs at a set time to wake up the user.	
dog_barking	A loud, rhythmic vocalization produced by dogs, characterized by a variety of pitches and tones, often heard in urban or suburban areas, especially during early morning or evening hours.	
church_bells	The sonorous pealing of church bells, typically heard on Sundays or religious holidays, marking the beginning of services or as a symbol of faith. Often heard in urban or suburban environments with a church or cathedral nearby.	
clock_tick	The distinct, rhythmic sound produced by a clock's mechanism, marking the passage of time. Typically heard in indoor settings, such as homes, offices, or public spaces, where clocks are present.	
Packing_tape_and_duct_tape	Adhesive tapes used for sealing, securing, and protecting items during transportation or storage. The sound of packing tape being applied is characterized by a sharp, adhesive sound, while duct tape produces a distinct, rubbery sound.	
Smoke detector, smoke alarm	Electronic devices designed to detect smoke particles and alert occupants of a building in case of a fire. The sound of a smoke detector or smoke alarm is typically a loud, piercing alarm that alerts people to evacuate the premises.	
bus/wheel_rolling	The rhythmic, metallic sound produced by the rotation of bus wheels on pavement, often accompanied by the hum of the engine and brakes. Typically heard in urban environments, near bus stops or on busy streets.	
Whispering	Gentle, low-volume vocalizations created with minimal breath and mouth movements, commonly employed for confidential communication or secrecy, typically heard in intimate conversations or quiet environments.	
people walking	Rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	
dishes	The clinking and clattering sounds produced by dishes being washed, dried, or placed on a table, often heard in kitchens or dining areas.	
truck/wheel_rolling	The rhythmic, rumbling sound generated by the movement of truck wheels on pavement or gravel, typically heard in urban or rural areas with heavy vehicle traffic.	
offscreen	A faint, indistinct sound heard in the background or off-screen, often difficult to locate or identify, typically associated with ambient noise or background activity.	
Livestock_and_farm_animals_and_working_animals	Sounds produced by domesticated animals used for agriculture, transportation, or labor, such as cows, pigs, horses, and chickens.	
truck/brakes	The screeching or grinding sound produced by the braking system of a truck, indicating the vehicle is slowing down or stopping.	
Musical instrument	The unique sound produced by a musical instrument, such as a guitar, piano, or trumpet, often characterized by its pitch, rhythm, and timbre.	
Finger snapping	A sharp, rhythmic sound produced by snapping the fingers together, often heard in various settings like auditoriums, music studios, or even on the street.	
Train wheels squealing	A metallic, high-pitched sound generated by the friction between train wheels and rails, especially during sharp turns or stops. Typically heard in urban or suburban areas near train tracks.	
Aircraft	The roaring, rhythmic sound produced by aircraft engines, often heard in the vicinity of airports or during flights.	
bus/engine_accelerating	The rapid, rhythmic sound of a bus or vehicle engine accelerating, typically heard from the front seat of a car or bus.	
Purr	A low, rumbling sound produced by the engine of a vehicle or machinery, often heard when the engine is running smoothly or idling.	
Reverse beeper	A high-pitched, rhythmic sound produced by a vehicle's reverse lights, typically heard when the vehicle is backing up or reversing direction.	
Car crash	A sudden, loud noise resulting from the collision of two or more vehicles, characterized by crunching, grinding, and screeching sounds, often accompanied by the sound of breaking glass or metal.	
Male singing	A melodic vocalization produced by a male voice, characterized by unique pitch, rhythm, and inflection, often heard in various musical genres or social settings.	
Accelerating_and_revving_and_vroom	"The high-pitched, rhythmic sound produced by a vehicle's engine as it accelerates or revs, often accompanied by a ""vroom"" sound. Typically heard in urban or suburban areas near roads or highways."	
Plucked_string_instrument	A musical instrument that produces sound by plucking strings, characterized by a bright, twangy tone. Often associated with folk or classical music, and commonly heard in concert halls or music studios.	
Human_group_actions	The collective sounds produced by a group of people engaging in activities such as singing, chanting, or clapping, characterized by a unified rhythm and volume. Often heard in social gatherings, religious ceremonies, or public events.	
birds_singing	Melodic vocalizations produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Domestic_animals_and_pets	Various sounds produced by domesticated animals such as dogs, cats, birds, and small mammals, often associated with affection, playfulness, or warning.	
Snoring	The deep, rumbling sound generated by the rapid expansion of air surrounding a person's airways during sleep, typically heard in bedrooms or sleeping areas, often accompanied by breathing irregularities.	
furniture movement	The creaking, groaning, or screeching sounds produced by furniture as it is moved or shifted, often heard in homes, offices, or other indoor environments.	
Electric toothbrush	The vibrating, humming sound produced by an electric toothbrush while in use, often heard in bathrooms or kitchens.	
Bass_guitar	The deep, resonant sound produced by a bass guitar, characterized by its rich, rumbling tones, often heard in music venues, recording studios, or practice sessions.	
Domestic animals, pets	Small mammals kept as companions or working animals, characterized by their adaptability and trainability. Common examples include dogs, cats, birds, fish, and reptiles. Often kept indoors or outdoors, depending on the species and owner's preference.	
Sink (filling or washing)	A basin with a drainage system, used for washing dishes, clothes, or other items. Typically made of porcelain, stainless steel, or cast iron, and equipped with faucets for filling and draining. Often found in kitchens or laundry rooms.	
Gull_and_seagull	A group of seabirds known for their distinctive cries and scavenging behavior. Gulls and seagulls are found near coastlines, islands, and other bodies of water, where they feed on fish, crustaceans, and other marine life. Their calls are often heard in the early morning or late afternoon, and their nests are typically located on cliffs, rocks, or man-made structures.	
Sheep	A melodic, rhythmic sound produced by the vocal cords of sheep, characterized by a soft, mellow tone and distinct pitch variations. Typically heard in rural areas, such as farms or pastures, where sheep are grazing or interacting with each other.	
Amplified speech	An enhanced, amplified version of human speech, often used in public settings like auditoriums, theaters, or sports stadiums, to project the speaker's voice to a larger audience. The amplification process may alter the sound's timbre, volume, or clarity.	
Bird vocalization, bird call, bird song	A diverse range of vocalizations produced by birds, including calls, songs, and alarms, characterized by unique patterns, pitches, and rhythms. Typically heard in natural environments like forests, parks, or gardens, especially during early morning or dusk, where birds are communicating with each other or attracting mates.	
Machine gun	A rapid, continuous, and loud rattling or buzzing sound produced by a firearm with a rotating barrel, often heard in military or action-packed scenes.	
Vehicle horn, car horn, honking, toot	A loud, sharp, and short sound emitted by a vehicle's horn, typically used to signal danger, warning, or attention, often heard in urban or traffic-heavy environments.	
Gull, seagull	A distinctive, mournful, and haunting cawing sound produced by seagulls, often heard over the ocean or near coastlines, associated with their scavenging and nesting behaviors.	
Inside, small room	The sound of a ticking clock, accompanied by the occasional chime, heard in a small, enclosed space.	
Clock	The steady, rhythmic ticking of a clock, accompanied by the occasional chime, heard in various settings, such as homes, offices, or public spaces.	
can_opening	The metallic clanging sound produced when a can is opened, often accompanied by a sharp cracking noise. Typically heard in kitchens or food preparation areas.	
