label	definition
Bagpipes	The distinctive, high-pitched sound produced by a bagpipe, characterized by its continuous, pulsating rhythm and unique timbre, classified under musical instruments or sounds.
smoke extractor	A mechanical device used to remove smoke from the air, characterized by its humming or whirring sound and the occasional sound of suctioning air.
Bark	The loud, sharp vocalizations produced by dogs, often used for communication or warning, belonging to the category of animal vocalizations.
Power tool	The loud, high-pitched noise produced by electric or gas-powered tools, such as saws or drills, used for construction or maintenance, classified under machinery-related sounds.
vacuum cleaner	A mechanical device used for cleaning floors and carpets, characterized by its suctioning and brushing action, often producing a rhythmic, humming sound.
music-from-uncertain-source	An audio signal containing music that originates from an unknown or unspecified source, often characterized by its ambiguity and lack of clear musical elements.
microwave	The sound produced by a microwave oven, characterized by its high-pitched, pulsating tone, often used as a warning signal or to indicate cooking progress.
Reggae	A genre of music characterized by its distinctive rhythm, melody, and lyrics, often featuring a strong bassline and a relaxed, staccato vocal style, belonging to the category of music and soundscapes.
Speech synthesizer	An electronic device or software program that converts text into spoken words, often used for voice recognition, text-to-speech conversion, or speech synthesis, classified under digital audio processing and communication technologies.
car/brakes	The sound produced by the braking system of a car, characterized by a sharp, high-pitched screeching or grinding noise, indicating the need for maintenance or replacement, classified under transportation-related sounds.
Musical_instrument	A device used to produce musical sound, characterized by its unique timbre and resonance, often played by musicians.
gun_shot	The sharp, explosive sound produced by the discharge of a firearm, characterized by its high-pitched, short duration, and reverberation.
Human group actions	The collective sounds produced by a group of people engaging in coordinated activities or movements, such as singing, dancing, or clapping, often characterized by their rhythm, tempo, and intensity.
Laughter	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
Caterwaul	A loud, discordant vocalization produced by a bird, often used as a warning call or to attract mates, classified under avian vocalizations.
Bird chirping	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Hoe ram	The rhythmic, metallic sound produced by a hoe as it is dragged through the soil, often used for cultivation or gardening.
drinking_sipping	The sound of liquid being consumed through a straw or mouth, characterized by the rhythmic sucking and swallowing sounds, often associated with drinking coffee or tea.
Ocean	The continuous, deep, and resonant sound produced by the movement of water in the ocean, often characterized by its low-frequency and ambient qualities, classified under natural environmental sounds.
Bellow	A deep, resonant sound produced by blowing air through a large instrument, such as a tuba or bassoon, often used in brass band music.
Fart	A short, sharp sound produced by the expulsion of gas from the rectum, characterized by its high-pitched and brief duration, classified under human bodily sounds.
pig	The distinctive, low-pitched vocalizations produced by pigs, often characterized by their grunts and snorts, belonging to the category of animal vocalizations.
cat meowing	The soft, melodic vocalizations produced by cats, often used for communication or expressing emotions, classified under feline vocalizations.
Bowed_string_instrument	The sound produced by a bowed string instrument, characterized by its rich, resonant tones and vibrato effects, belonging to the category of musical instruments.
shopping cart	The metallic clanging and rolling sounds produced by a shopping cart as it moves along a surface, often accompanied by the rustling of bags or items inside.
Burping, eructation	The gurgling or burping sound produced by the expulsion of gas from the stomach, often accompanied by a popping or fizzing noise.
Choir	The harmonious singing of a group of people, often characterized by distinct voices and melodies, belonging to the category of human vocalizations or musical performances.
Toilet_flush	The sound of water rushing out of a toilet bowl, characterized by its short duration and high-pitched frequency, belonging to the category of household sounds.
Rail_transport	The continuous, rhythmic sound produced by the wheels of a train moving on rails, often accompanied by the clacking of the couplings, classified under transportation-related sounds.
Banjo	The twangy, resonant sound produced by the strings of a banjo, often characterized by its percussive quality and use in folk music, belonging to the category of musical instruments.
Friction brake	A mechanical device used to slow down or stop the rotation of a wheel or axle, characterized by a screeching or grinding sound.
Burst, pop	A sudden, explosive sound produced by the release of pressure or energy, often accompanied by a sharp, crackling noise.
Yell	A loud, high-pitched vocalization produced by the vocal cords, often used for expressing strong emotions or attracting attention.
crying_baby	The sound of a baby crying, characterized by high-pitched, sobbing vocalizations, often associated with sadness or discomfort.
snoring	The sound produced by the passage of air through the nose and mouth during sleep, characterized by a low rumbling or snorting noise, often disrupting sleep.
Boom	A loud, explosive sound often associated with gunfire or fireworks, belonging to the category of explosive sounds.
church_bells	The ringing sound produced by church bells, typically characterized by its frequency and duration, belonging to the category of religious or cultural sounds.
Powered saw	The high-pitched, whirring sound produced by a powered saw, often associated with woodworking or construction, belonging to the category of mechanical sounds.
Subway_and_metro_and_underground	The continuous, rhythmic sounds produced by trains and subways, often characterized by their metallic clanging and rumbling, classified under transportation-related sounds.
large-crowd	The loud, bustling sounds produced by a large group of people, often characterized by their chatter, laughter, and footsteps, categorized as human activities or social sounds.
Waves, surf	The rhythmic, crashing sounds produced by ocean waves, often characterized by their pitch and intensity, belonging to the category of natural environmental sounds.
(object) snapping	The sharp, crackling sound produced by the rapid expansion of air surrounding a lightning bolt, often accompanied by booming or rumbling noises, classified under atmospheric phenomena.
Goat	The soft, bleating vocalizations produced by goats, often characterized by their distinct pitch and rhythm, categorized under animal vocalizations.
Waves_and_surf	The continuous, rhythmic sounds produced by waves crashing on the shore, characterized by their intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
toilet_flush	The sound produced by the flushing of a toilet, characterized by its short duration and distinctive rhythm, categorized as household sounds.
piano	The rich, resonant sounds produced by the striking of piano keys, characterized by their timbre and dynamic range, classified as musical instruments.
Glass chink, clink	The sharp, metallic sound produced by the collision of two glass surfaces, often heard when pouring or clinking glasses.
Wind instrument, woodwind instrument	A musical instrument that produces sound by the vibration of air, typically made of wood or bamboo, and played by blowing air into it.
Pig	The low, grunting vocalizations produced by pigs, often used for communication or expressing emotions, classified under animal vocalizations.
barking dog	The loud, rhythmic vocalizations produced by a dog, often characterized by distinct pitch and tone, belonging to the category of animal vocalizations.
Tick	The short, sharp sound produced by a small insect, often characterized by its high-pitched quality and rapid repetition, classified under insect sounds.
Water	The continuous, flowing sound of water, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Gunshot_and_gunfire	A sharp, explosive sound produced by the discharge of a firearm, characterized by a short duration and high intensity, classified under man-made sounds.
Fowl	The vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Funk	A genre of music characterized by its rhythmic, syncopated beats, often featuring electric instruments and soulful vocals, classified under music-related sounds.
announcement_speech	A clear, authoritative voice delivering a public or official message, often accompanied by background noise or music.
Brake	The sharp, metallic sound produced by the friction of brake pads against brake rotors, typically heard when a vehicle is coming to a stop or slowing down.
Scissors	The cutting sound produced by the blades of scissors as they cut through materials, often accompanied by a snipping or clicking sound.
Change ringing (campanology)	The melodious pealing of church bells, characterized by distinct patterns and rhythms, belonging to the category of religious and cultural sounds.
Coin (dropping)	The sharp, metallic sound produced when a coin lands on a hard surface, often accompanied by a slight echo, categorized as everyday sounds.
traffic_noise	The continuous, low-level noise produced by traffic, characterized by its intensity and white noise-like qualities, classified under urban sounds.
Finger_snapping	The sharp, rhythmic sound produced by snapping fingers, often used as a percussive element in music or as a signal.
Mallet_percussion	A percussion instrument that produces sound by striking a set of metal bars with mallets, often used in orchestral and band music to create rhythmic patterns and accents.
Canidae, dogs, wolves	The howling, barking, and other vocalizations produced by dogs and wolves, classified under mammalian vocalizations.
crying baby	The high-pitched, wailing vocalizations produced by an infant, often characterized by rapid, rhythmic sobs, belonging to the category of human vocalizations or emotional expressions.
Cough	The dry, hacking sound produced by the movement of air through the respiratory system, typically accompanied by a clearing of the throat or a sneeze, classified under respiratory sounds.
Human movement	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
crash	A sudden, loud, and sharp sound produced by the collision of two or more objects, often accompanied by a metallic or glassy tone, classified under mechanical sounds.
Cello	A musical instrument with a long, narrow neck and a resonating body, producing a rich, deep, and mellow sound, classified under musical instruments.
truck/engine_idling	The low, rumbling sound produced by the engine of a truck when it is idling or not in motion, often accompanied by the sound of the brakes and other mechanical components, classified under transportation-related sounds.
Adult female speech	The vocalizations produced by adult females, characterized by distinct pitch, rhythm, and intonation, often used for communication or expression.
Crying_and_sobbing	The loud, high-pitched vocalizations produced by crying and sobbing, characterized by rapid, rhythmic bursts of sound, often accompanied by breathing and body movements.
Rock drill	The continuous, high-pitched sound produced by a rock drill, often characterized by its intensity and repetitive nature, used for breaking rocks or excavation.
pile-driver	A heavy, rhythmic sound produced by a construction machine used for driving piles into the ground.
Music of Latin America	A diverse range of musical genres and styles originating from Latin American countries, characterized by their unique rhythms, melodies, and instruments.
Shatter	A sudden, sharp sound produced by the breaking of glass or other brittle materials, often accompanied by a high-pitched ringing noise.
Boing	A short, high-pitched sound often used in electronic devices or games, characterized by its repetitive, rhythmic pattern.
Hi-hat	A percussive sound produced by striking a metal plate or cymbal with a mallet or stick, often used in drumming and percussion music.
Fire alarm	A loud, piercing sound produced by a fire alarm system, typically used to alert people of a fire emergency and to evacuate the premises.
mouse_click	A short, sharp sound produced by a computer mouse when a button is clicked, often characterized by a distinct click-clack rhythm, belonging to the category of electronic sounds.
breathing	The rhythmic, inhaling and exhaling sounds produced by the human respiratory system, characterized by the movement of air in and out of the lungs, categorized as human biological sounds.
Toilet flush	The sound produced by the flushing of a toilet, characterized by a rapid, swirling noise, often accompanied by the sound of water rushing and splashing, classified under plumbing-related sounds.
pouring_water	The sound of liquid pouring from a container, characterized by a continuous, rhythmic splashing noise.
Footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
cooking	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
Tools	The sounds produced by various hand tools, such as hammers, saws, and drills, often characterized by their rhythmic, percussive nature, belonging to the category of human activities or machinery sounds.
motorcycle/engine_idling	The steady, low-pitched hum produced by the engine of a motorcycle while it is idling, often accompanied by the sound of the exhaust pipe, classified under transportation-related sounds.
Bow-wow	The high-pitched, yipping sound produced by a dog, often used for communication or excitement, categorized under animal vocalizations or sounds.
Speech_synthesizer	An electronic device that generates human-sounding speech from text input, often used in voice assistants or language translation software.
Fill (with liquid)	The act of adding liquid to a container or space, typically characterized by the sound of liquid flowing or splashing.
Gunshot, gunfire	The sharp, explosive sound produced by the discharge of a firearm, often accompanied by a short, high-pitched echo.
Female_singing	The melodious vocalizations produced by a female, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of human vocalizations.
Keyboard (musical)	The sound produced by striking keys on a musical instrument, often characterized by its timbre and pitch, belonging to the category of musical instruments.
Marimba, xylophone	The sound produced by striking wooden bars with mallets, often characterized by its resonance and timbre, belonging to the category of percussion instruments.
Cash register	The metallic clinking and ringing sounds produced by the movement of cash and coins in a register, often accompanied by paper rustling and drawer opening and closing sounds, classified under commercial sounds.
Afrobeat	The rhythmic, percussive music originating from West Africa, characterized by its use of traditional African instruments and rhythms, often featuring a strong bassline and complex percussion patterns, classified under music genres.
Female speech, woman speaking	The vocalizations produced by a female speaker, characterized by their pitch, tone, and intonation, often conveying emotions, ideas, or information, classified under human communication sounds.
Gasp	A sudden, sharp intake of breath, often accompanied by a high-pitched sound, classified under human vocalizations or emotional expressions.
Domestic_animals_and_pets	The sounds produced by domesticated animals such as dogs, cats, and birds, often characterized by their distinct vocalizations and behaviors, categorized under animal-related sounds.
Human voice	The vocalizations produced by humans, characterized by a wide range of pitches, tones, and rhythms, often used for communication, expression, or entertainment.
Siren	A loud, oscillating sound produced by a high-frequency generator, typically used for warning or alerting purposes, classified under warning or alarm sounds.
Alarm	A loud, high-pitched sound produced by an electronic device to signal danger or an emergency.
Bathtub (filling or washing)	The sound of water filling or washing a bathtub, characterized by its rhythmic splashing and gurgling.
Tearing	The sound of fabric or paper being torn, characterized by its sharp, tearing noise.
Male singing	The melodious vocalizations produced by a male human, often characterized by distinct pitch, rhythm, and emotional expression, belonging to the category of human vocalizations.
Ringtone	The electronic sound produced by a mobile device to signal an incoming call or message, typically characterized by a distinct melody or pattern, belonging to the category of electronic sounds.
Gong	The resonant, metallic sound produced by striking a large, flat metal object, often used for ceremonial or ritual purposes, belonging to the category of percussion instruments.
Air conditioning	The continuous, rhythmic sound produced by an air conditioning unit, characterized by its low-pitched hum and occasional clicking or whirring noises, classified under man-made sounds.
Pile driver	The loud, percussive sound produced by a pile driver striking a hard surface, often characterized by its repetitive, rhythmic pattern, classified under construction-related sounds.
female speech	The vocalizations produced by females, characterized by distinct pitch, tone, and rhythm, often used for communication or expression.
Cheering	The loud, rhythmic sounds produced by people clapping and shouting in unison, often associated with sports or celebrations, classified under human activities or social sounds.
Ratchet, pawl	The metallic, clicking sound produced by a ratchet mechanism, often used in machinery or tools, classified under mechanical sounds or industrial sounds.
Growling	A low, rumbling sound produced by an animal, often associated with aggression or warning.
Bicycle bell	A metallic ringing sound produced by a bicycle bell, used to signal the presence of a cyclist.
Organ	A musical instrument consisting of pipes and pedals, producing a rich, resonant sound through the vibration of air.
Blues	A genre of music characterized by its melancholic, expressive, and improvisational style, often associated with African American culture.
Explosion	A sudden, violent release of energy or matter, producing a loud, sharp sound, often accompanied by a shockwave or blast.
Mechanisms	The intricate systems and processes that govern the operation of machines, engines, or other mechanical devices, often characterized by their rhythmic, repetitive sounds.
Bicycle	A two-wheeled vehicle powered by human effort, characterized by the sound of pedaling and the occasional scraping of the brakes against the road surface.
Thump, thud	A rhythmic, percussive sound produced by the impact of a hard object against a surface, often associated with footsteps or other forms of movement.
Brass instrument	A musical instrument made of brass or other metals, characterized by its rich, resonant sound and the ability to produce a wide range of notes through the use of a mouthpiece and various embouchures.
Tap	A short, sharp sound produced by striking a hard surface with a small object, often used to signal or indicate something.
Wind_instrument_and_woodwind_instrument	A musical instrument that produces sound by the vibration of air, typically characterized by a distinct pitch and timbre, belonging to the category of musical instruments.
reverse-beeper	A high-pitched, continuous sound produced by a reversing beeper, often used to signal a vehicle's reverse direction.
Bus	The continuous, rumbling sound produced by the engine of a bus, often accompanied by the screeching of brakes and the clanging of doors.
Wind_chime	The soft, melodic sound produced by wind blowing through metal chimes, often used to create a calming or relaxing atmosphere.
Chewing_and_mastication	The rhythmic sounds produced by the movement of teeth and tongue during the process of chewing food, characterized by distinct patterns and pitches, belonging to the category of human activities or movement sounds.
Bowed string instrument	The musical instrument played by drawing a bow across strings, producing a rich, resonant sound, classified under stringed instruments.
Squeak	The short, high-pitched sound produced by the friction of two surfaces in contact, often associated with mechanical or mechanical-related sounds.
large-rotating-saw	A loud, rhythmic sound produced by a large rotating saw, characterized by its high-pitched whirring and occasional clanging noises, classified under machinery-related sounds.
Run	The rhythmic sounds made by the impact of feet on a surface while running, characterized by their speed, intensity, and pattern, categorized as human activities or movement sounds.
coughing	The dry, hacking sound produced by the throat and lungs during coughing, often accompanied by a high-pitched wheezing noise, classified under respiratory sounds.
Rock music	A genre of music characterized by strong, rhythmic beats, distorted electric guitars, and powerful vocals, often associated with rebellion and youth culture.
Thunderstorm	A natural phenomenon characterized by the continuous rumbling and crackling sound of thunder, accompanied by lightning flashes and heavy rain, often causing fear and awe in those who experience it.
Silence / background noise only	The absence of any discernible sound, often used as a reference point for measuring the level of ambient noise or the effectiveness of noise-cancelling technology.
Machine gun	A rapid, continuous, and loud sound produced by a firearm with a rotating barrel, often used in military or law enforcement contexts, classified under weapon-related sounds.
wind	The sound of wind blowing through leaves, grass, or other objects, characterized by its rustling, whistling, or whooshing qualities, belonging to the category of natural environmental sounds.
Aircraft	The continuous, humming sound produced by aircraft engines, often accompanied by the occasional roar or buzz of turbines, classified under transportation-related sounds.
Talking	The human vocalizations produced during conversation, characterized by their rhythmic, melodic, and expressive qualities, belonging to the category of human communication sounds.
Door, open or close	The sound of a door opening or closing, characterized by a distinct click or creak, often accompanied by a soft rustling sound as the door moves.
Stationary music	The continuous, steady sound of music played from a fixed location, often characterized by its volume and timbre, and typically classified under the category of music or soundscapes.
truck/brakes	The screeching sound produced by the brakes of a truck, often heard when the vehicle is coming to a stop or slowing down, classified under transportation-related sounds.
Packing_tape_and_duct_tape	The rustling sound produced by the adhesive surface of packing tape or duct tape when applied or removed, categorized as household or office supplies sounds.
Electric_shaver_toothbrush	The buzzing sound produced by the electric motor of a shaver or toothbrush, often heard when the device is in use, classified under personal care or grooming sounds.
large-sounding-engine	A loud, rumbling sound produced by a large internal combustion engine, often associated with heavy vehicles or machinery.
Pour	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise.
Train horn	The loud, piercing sound produced by the horn of a train, often used to signal its approach or departure, and classified under transportation-related sounds.
Typewriter	The rhythmic, mechanical clicking sound produced by a typewriter as it types letters, often associated with the sound of paper being fed into the machine.
Drum	The sharp, resonant sound produced by a drum, characterized by its pitch, tone, and rhythm, often used in music and percussion.
Railroad car, train wagon	The continuous, metallic clanging sound produced by the wheels of a train car or wagon as it moves along tracks, often accompanied by the rumble of the engine and other sounds.
Chorus effect	A sound effect that simulates the combined voices of a group of singers, often used in music production.
Idling	The sound of an engine or machine running at a low speed or in idle mode, characterized by a steady, low hum.
Chicken, rooster	The distinct vocalizations produced by chickens and roosters, often characterized by their rhythmic, crowing calls.
Microwave_oven	A kitchen appliance that produces microwaves to heat or cook food, characterized by a beeping sound and a humming noise.
Piano	A musical instrument with strings that produce sound when struck with mallets, characterized by a rich, resonant sound and a variety of notes.
Whistle	A handheld musical instrument that produces sound by blowing air through a small hole, characterized by a high-pitched, piercing sound and a variety of notes.
Scratching_(performance_technique)	The sound produced by rubbing a finger or object against a surface, often used in percussion or drumming.
Hammer	The sound produced by striking a metal object with a hammer, characterized by a sharp, metallic ring.
dishes	The sound produced by the clinking or clattering of dishes, often associated with kitchen or culinary sounds.
Male_singing	The melodious vocalizations produced by male singers, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of human vocalizations.
Glass shatter	The sharp, crackling sound produced when glass breaks or shatters, typically characterized by its intensity and high-pitched qualities, classified under man-made sounds.
Percussive sounds, e.g. crash, bang, knock, footsteps	The loud, sharp sounds produced by the impact of objects or bodies on surfaces, characterized by their intensity and short duration, categorized as natural environmental sounds.
jackhammer	A loud, rhythmic, percussive sound produced by a jackhammer, often used for construction or demolition work.
Drum_kit	A collection of percussion instruments, including drums, cymbals, and other accessories, used in music or other forms of percussion performance.
Bird vocalization, bird call, bird song	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, and used for communication, territorial defense, or attracting mates.
Percussion	The sharp, rhythmic sounds produced by striking or shaking objects, often used in music and dance.
Crumpling_and_crinkling	The crisp, rustling sounds produced by the movement of paper or other lightweight materials, often associated with rustling leaves or paper bags.
Plucked string instrument	The melodic sounds produced by plucking the strings of a stringed instrument, such as a guitar or harp, characterized by their bright, twangy tones.
Fusillade	A rapid, continuous series of gunshots, often used in military or action-packed scenes, belonging to the category of man-made sounds.
Gurgling, bubbling	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling, classified under liquid or fluid movement sounds.
Computer_keyboard	The clicking or tapping sounds produced by a computer keyboard, often used as a signal of user input or system activity, categorized as electronic or computer-related sounds.
Marimba_and_xylophone	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound, classified under musical instruments.
Tick-tock	The rhythmic sound produced by a clock or timepiece, characterized by a steady, alternating pattern of sound and silence, classified under timekeeping sounds.
Chirp, tweet	The short, high-pitched vocalizations produced by birds, often used for communication or attracting mates, classified under bird vocalizations.
airplane	The continuous, humming sound produced by the engines of an airplane, often accompanied by the occasional roar of the engines or the sound of landing gear touching down, classified under transportation-related sounds.
Small/medium rotating saw	The high-pitched, whirring sound produced by a small or medium-sized rotating saw, often accompanied by the occasional buzzing or clicking noise, categorized as power tools or machinery sounds.
burning fire	A crackling, popping sound produced by the combustion of fuel in a fireplace or campfire, often accompanied by a warm, comforting ambiance, classified under domestic sounds.
car horn	A loud, high-pitched sound produced by the activation of a car's horn, often used to signal danger or warning, categorized under transportation-related sounds.
Reversing beeps	A series of short, high-pitched beeps produced by a car's reverse gear, indicating that the vehicle is reversing, classified under transportation-related sounds.
Splinter	A sharp, cracking sound produced by breaking wood or other materials, often accompanied by a high-pitched ringing tone.
Clock	The steady, rhythmic ticking sound produced by a clock or other timekeeping device, often accompanied by a pendulum swinging back and forth.
Insect chirping	The high-pitched, trilling vocalizations produced by insects, often used for communication or attracting mates.
non-machinery-impact	The sound produced by the impact of non-machinery objects, such as footsteps, car horns, or animal vocalizations, belonging to the category of human activities or natural environmental sounds.
Vehicle horn, car horn, honking	The loud, high-pitched sound produced by the horn of a vehicle, often used to signal its presence or warning of danger, classified under transportation-related sounds.
Truck	The rumbling sound produced by the engine and suspension of a truck, often accompanied by the sound of tires rolling on the road, categorized under transportation-related sounds.
Outside, urban or manmade	The sounds produced by human activities and structures in urban environments, such as traffic, construction, and machinery.
Crackle	The sharp, crackling sound produced by the movement of air or other materials, often associated with electrical or mechanical devices.
switch	The sound produced by the movement of a switch or other mechanical component, typically characterized by a short, sharp click or pop.
ringing phone	The high-pitched, continuous sound produced by a phone ringing, often accompanied by a vibration, classified under communication-related sounds.
Buzz	The low-frequency, humming sound produced by an electric device, often associated with charging or malfunctioning, categorized under electronic sounds.
Cutlery, silverware	The clinking and clattering sounds produced by metal cutlery and silverware when struck together, often used to signal the start of a meal or to draw attention, classified under kitchen or culinary sounds.
Hip hop music	A genre of music characterized by its rhythmic beats, bass-heavy sound, and use of electronic instruments, often featuring vocalizations and lyrics that express social and political issues.
Accordion	A musical instrument that produces sound by the movement of bellows, typically used in folk and traditional music, characterized by its distinctive, reedy sound.
Smoke detector, smoke alarm	A device that produces a loud, high-pitched sound to alert people of a fire or smoke hazard, classified under safety-related sounds.
Glockenspiel	A musical instrument consisting of metal bars struck with mallets, producing a bright, metallic sound, categorized under percussion instruments.
crickets	The chirping or singing sounds produced by crickets, often characterized by their rhythmic patterns and distinct pitches, classified under natural environmental sounds.
Snap	A sharp, short sound produced by the breaking of a thin object, such as a twig or a piece of paper.
announcement_jingle	A short, catchy melody or tune used to announce or signal an event, such as a television commercial or a radio program.
Chopping (food)	The sound produced by cutting food with a knife or other sharp object, characterized by short, sharp noises and varying in intensity and rhythm depending on the type of food and the cutting technique.
Chant	A melodic vocalization produced by a group of people, often used in religious or cultural ceremonies, characterized by a repetitive pattern and a distinct pitch.
door opens/closes	The sound of a door opening or closing, characterized by a creaking or squeaking noise, often accompanied by a soft thud or click.
Inside, large room or hall	The ambient sounds produced within a large room or hall, typically characterized by echoes, reverberation, and a sense of spaciousness.
Medium engine (mid frequency)	The sound of a medium-sized engine operating at a mid-frequency range, often characterized by a steady hum or buzz, with occasional vibrations or rattles.
Crumpling, crinkling	The sound of paper or fabric being folded, creased, or wrinkled, often characterized by a crisp, rustling quality, belonging to the category of everyday sounds.
Electronic music	The instrumental or vocal sounds produced using electronic devices or software, often characterized by a wide range of timbres, rhythms, and textures, classified under music-related sounds.
car passing by	The sound of a car engine and tires moving on a road, often characterized by its speed, intensity, and rhythm, categorized under transportation-related sounds.
cash register beeping	The electronic sound produced by a cash register when it is opened or closed, often characterized by a short, high-pitched beep, belonging to the category of man-made sounds.
Wind noise (microphone)	The continuous, low-frequency sound produced by wind blowing through a microphone, often characterized by its rustling or whispering qualities, belonging to the category of natural environmental sounds.
car	The sound produced by a car engine, characterized by its rhythmic, high-frequency noise, often associated with transportation-related sounds.
Electric train	The continuous, rhythmic sound produced by the wheels of an electric train moving on tracks, characterized by its metallic and mechanical qualities, belonging to the category of transportation-related sounds.
Jazz	The improvised, syncopated, and expressive music genre characterized by its distinctive rhythms, melodies, and harmonies, often featuring instruments such as saxophone, trumpet, and piano, classified under music-related sounds.
Cupboard_open_or_close	The sound produced by the opening or closing of a cupboard door, characterized by its hinges and door material, often accompanied by a slight click or clatter, categorized as household sounds.
Mechanical fan	A mechanical device that produces a steady, rhythmic sound when in operation, often used for cooling or ventilation.
New-age music	A genre of instrumental music that incorporates elements of world music, jazz, rock, and electronic music, often characterized by its use of unconventional instruments and sounds.
Crushing	The sound produced by the impact of a heavy object or force on a hard surface, often accompanied by a sharp, cracking noise, and can be associated with construction or industrial activities.
Walk_and_footsteps	The rhythmic sounds produced by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Helicopter	The continuous, whirring sound produced by the rotors of a helicopter, often characterized by its intensity and mechanical qualities, classified under transportation-related sounds.
Zipper_(clothing)	The metallic or plastic sound produced by the movement of a zipper, often accompanied by a soft clicking noise, categorized as clothing-related sounds.
wind blowing	The continuous, whistling sound produced by wind blowing through leaves, grass, or other objects, often characterized by its pitch and rhythm, belonging to the category of natural environmental sounds.
hen	The distinct, clucking vocalizations produced by hens, often characterized by their rhythm and pitch, belonging to the category of animal vocalizations.
Machinery impact	The sharp, metallic sound produced by machinery colliding with a hard surface, often characterized by its intensity and duration, classified under man-made sounds.
(object) banging	A loud, rhythmic sound produced by the impact of an object against a hard surface, often characterized by its intensity and frequency, classified under man-made sounds.
Domestic_sounds_and_home_sounds	A category of sounds produced within a residential setting, including sounds related to daily activities, appliances, and furniture, categorized under home-related sounds.
Child speech	The vocalizations produced by children, characterized by their unique intonation, pronunciation, and vocabulary, often used for communication, play, and learning, classified under human vocalizations.
Chuckle_and_chortle	A light, short burst of laughter characterized by a series of chuckles and chortles, often used to express amusement or delight.
Sneeze	A sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a tickling sensation in the nasal passages.
Accelerating_and_revving_and_vroom	"The loud, high-pitched sound produced by the engine of a vehicle as it accelerates or revs up, often accompanied by the word ""vroom""."
Gull_and_seagull	The melodious vocalizations produced by gulls and seagulls, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
motorcycle/engine_accelerating	The loud, revving sound produced by the engine of a motorcycle, often accompanied by a roar or growl, classified under transportation-related sounds.
Smash, crash	The sharp, explosive sounds produced by the impact of two objects colliding, often accompanied by a metallic or glassy quality, categorized as impact-related sounds.
keyboard_typing	The rhythmic, repetitive sounds produced by typing on a keyboard, characterized by distinct key presses and strokes, classified as human activities or computer-related sounds.
rain	The continuous, soft patter of raindrops hitting various surfaces, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Writing	The scratchy, rhythmic sounds produced by writing with a pen or pencil on paper, characterized by distinct strokes and pressure, categorized as human activities or writing-related sounds.
frog	The croaking sound produced by frogs, often characterized by its rhythmic, pulsating pattern and distinct pitch.
chainsaw	The loud, buzzing sound produced by a chainsaw, characterized by its high-frequency, rapid oscillations and distinctive rhythm.
Dishes_and_pots_and_pans	The clattering and clinking sounds produced by dishes, pots, and pans being washed, characterized by their high-frequency, rapid oscillations and distinctive rhythm.
fireworks	The loud, explosive sounds produced by fireworks, often characterized by their brightness and sharpness, classified under pyrotechnic sounds.
Cap gun	The sharp, metallic sound produced by a cap gun, often used in movies or games, classified under firearm sounds.
Chuckle, chortle	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
Snoring	The low, rumbling sound produced by breathing through the nose or mouth while sleeping, often characterized by irregular breathing patterns and varying intensity, classified under sleep-related sounds.
Sliding_door	The metallic, scraping sound produced by a sliding door as it moves along its tracks, often accompanied by a soft click or clatter, categorized as household sounds.
Baby laughter	The joyful, high-pitched laughter produced by babies, often characterized by short, repeated bursts of sound and varying intensity, classified under human vocalizations or emotional expressions.
door_wood_creaks	The creaking sound produced by wooden doors as they open and close, often characterized by a sharp, metallic tone, belonging to the category of man-made sounds.
Respiratory sounds	The sounds produced by the respiratory system during breathing, including inhalation, exhalation, and coughing, classified under human physiological sounds.
Boat_and_Water_vehicle	The continuous, rhythmic sound produced by the movement of a boat or watercraft through water, often characterized by a splashing or slapping sound, belonging to the category of water-related sounds.
Knock	A rhythmic, sharp sound produced by striking a surface with a hand or other object, often used to signal or announce something.
