class_name	dataset	base_description	context_aware_description	ontology_aware_description
Yip	AudioSet	A high-pitched, excited vocalization often produced by dogs or other animals.	A high-pitched vocalization produced by dogs, often used for excitement, joy, or communication.	A short, high-pitched vocalization produced by dogs, often used for excitement or joy, categorized under animal vocalizations.
Howl	AudioSet	A loud, mournful sound produced by wolves, often heard at night	A mournful, prolonged sound produced by wolves, characterized by its haunting, resonant quality and low pitch, often heard in forests or open spaces at night. The howl serves as a form of communication among wolves, conveying their presence, location, and intentions.	The mournful, prolonged vocalizations produced by wolves or other animals, often used for communication or warning, belonging to the category of animal vocalizations.
Bow-wow	AudioSet	The loud, high-pitched barking of a dog, often characterized by its repetitive and rhythmic nature.	A vocalization produced by dogs, characterized by a high-pitched, yipping sound, often used for communication or excitement. Typically heard in dog parks, neighborhoods, or during training sessions.	The high-pitched, yipping sound produced by a dog, often used for communication or excitement, categorized under animal vocalizations or sounds.
Growling	AudioSet	A low, rumbling sound produced by an animal, often associated with aggression or warning.	A deep, rumbling sound produced by certain animals, especially dogs, when they are agitated, threatened, or hungry, often associated with their teeth-bearing or snarling actions.	A low, rumbling sound produced by an animal, often associated with aggression or warning.
Whimper (dog)	AudioSet	A low, mournful sound made by a dog, often indicating pain, fear, or sadness.	A low, mournful, and continuous vocalization produced by dogs, often expressing pain, fear, or anxiety. Typically heard in domestic settings or near dog parks.	A low, mournful vocalization produced by a dog, often associated with sadness or fear.
Cat	AudioSet	The soft, meowing vocalizations produced by cats, often characterized by their distinct pitch and rhythm.	A small domesticated mammal known for its distinctive meowing sound, often heard indoors or outdoors, especially during early morning or dusk.	The meowing, purring, or other vocalizations produced by a cat, often characterized by their soft, melodic tones and distinctive rhythm.
Purr	AudioSet	A low, rumbling sound produced by a cat, often associated with contentment or relaxation.	A low, rumbling sound produced by the engine of a vehicle or machinery, often heard when the engine is running smoothly or idling.	A low, rumbling sound produced by a cat, often associated with contentment or relaxation, classified under animal-related sounds.
Meow	AudioSet	The soft, melodic vocalization produced by a cat, characterized by short, high-pitched bursts of sound.	The soft, melodic vocalization produced by cats, typically used for communication, expressing contentment, or seeking attention, often heard in homes or outdoors.	The soft, melodic vocalization produced by cats, often used for communication or expressing contentment.
Hiss	AudioSet	The sharp, high-pitched sound produced by a hissing snake or other hissing creature, characterized by its sudden, short bursts of sound.	A sharp, high-pitched sound resembling a snake hissing or a fizzing sound, often associated with electrical or mechanical devices, chemicals, or insects.	A high-pitched, continuous sound produced by the rapid movement of air through a narrow opening, often associated with snakes or other slithering creatures.
Caterwaul	AudioSet	A loud, piercing, and often discordant vocalization produced by a cat, often used to express anger or discomfort.	A loud, mournful wail produced by a cat, often heard when it is in pain or distress, typically in a residential or urban environment.	A loud, discordant vocalization produced by a bird, often used as a warning call or to attract mates, classified under avian vocalizations.
Livestock, farm animals, working animals	AudioSet	Large domesticated mammals kept for agricultural, dairy, or meat production, such as cows, pigs, and chickens.	A diverse range of animal sounds produced by farm animals, such as cows, pigs, and sheep, characterized by distinct pitches, rhythms, and patterns, often heard in agricultural settings.	The sounds produced by domesticated animals used for agriculture, transportation, or labor, often characterized by their distinct vocalizations and movement sounds.
Horse	AudioSet	The sound of a horse's hooves galloping on a hard surface, characterized by a rhythmic, clattering noise.	The distinct, rhythmic sound produced by a horse's hooves as it gallops or trots, often heard in rural areas, horse races, or rodeos.	The sound produced by a horse's hooves as it gallops or trots, characterized by a rhythmic, percussive quality, belonging to the category of animal-related sounds.
Clip-clop	AudioSet	The rhythmic sound produced by the striking of horse hooves on a hard surface, often accompanied by the jingling of bells or other accessories.	The rhythmic, metallic sound produced by the striking of horse hooves on a hard surface, typically heard in urban or rural environments where horses are present.	The rhythmic, metallic sound produced by the striking of two hard objects together, often associated with horse-drawn carriages or clocks.
Neigh, whinny	AudioSet	"The high-pitched, rhythmic vocalizations produced by a horse, often characterized by a distinctive ""neigh"" sound and a ""whinny"" tone."	A high-pitched, resonant sound produced by a horse, often heard in pastures, stables, or during horseback riding, conveying excitement, contentment, or warning.	The high-pitched, resonant vocalizations produced by a horse, often used to communicate with other horses or to signal their presence.
Cattle, bovinae	AudioSet	The low, mooing vocalizations produced by cows, characterized by their rhythmic, resonant quality and distinct pitch.	Large domesticated mammals known for their distinctive mooing sound, often heard in agricultural areas or ranches.	The low-frequency, mooing sounds produced by cows, often characterized by their distinctive timbre and rhythm, belonging to the category of animal sounds.
Moo	AudioSet	The low, resonant sound produced by cows, often used to identify them or to signal their presence.	The resonant, low-pitched sound produced by cows, typically heard in agricultural or rural settings, often associated with grazing or milking.	The low, resonant sound produced by cows, typically used as a reference for measuring low-frequency sound levels.
Cowbell	AudioSet	A metal instrument used in music, characterized by a sharp, ringing sound produced by striking it with a mallet or other percussive object.	A metal instrument played by striking it with a mallet or hand, producing a sharp, ringing sound. Commonly used in music, especially in folk and country genres, and in rodeos or other equestrian events.	The loud, metallic sound produced by striking a cowbell, often used to signal or announce something, categorized under percussion instruments or musical sounds.
Pig	AudioSet	The vocalizations and sounds produced by pigs, including grunts, squeals, and snorts.	A low, grunting sound produced by a pig, characterized by its rhythmic, repetitive nature and distinct timbre, often heard in agricultural settings or on farms.	The low, grunting vocalizations produced by pigs, often used for communication or expressing emotions, classified under animal vocalizations.
Oink	AudioSet	A short, high-pitched sound produced by a pig, often used to express excitement, aggression, or communication.	A short, sharp, and high-pitched vocalization produced by pigs, often heard in agricultural settings or near pig farms.	A short, high-pitched vocalization produced by a pig, typically used for communication or expressing excitement or contentment.
Goat	AudioSet	A goat produces a distinctive, high-pitched bleating sound, often characterized by its rhythmic, repetitive nature.	A domesticated mammal known for its curved horns, soft fur, and distinctive bleating sound, commonly kept for milk, meat, or companionship.	The soft, bleating vocalizations produced by goats, often characterized by their distinct pitch and rhythm, categorized under animal vocalizations.
Bleat	AudioSet	A soft, high-pitched vocalization produced by sheep, often used for communication or warning.	A high-pitched, short, and rhythmic sound produced by sheep, often heard in rural areas or farms.	The high-pitched, repetitive vocalizations produced by sheep, often used for communication or warning of predators, classified under animal vocalizations.
Sheep	AudioSet	A domesticated mammal known for its wool and meat, characterized by its bleating sound	A melodic, rhythmic sound produced by the vocal cords of sheep, characterized by a soft, mellow tone and distinct pitch variations. Typically heard in rural areas, such as farms or pastures, where sheep are grazing or interacting with each other.	The soft, low-pitched bleating produced by sheep, often characterized by its rhythmic, repetitive nature, belonging to the category of animal vocalizations.
Fowl	AudioSet	Fowl refers to birds that are commonly kept as pets or used for food production. The sound produced by fowl is typically characterized by its distinct vocalizations, which can include chirps, coos, clucks, and squawks. The sound of fowl can also vary depending on the species, age, and health of the bird.	The vocalizations produced by birds, characterized by a wide range of pitches, tones, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	The vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Chicken, rooster	AudioSet	The distinct, clucking and crowing sounds produced by chickens, often characterized by their rhythmic and melodic qualities.	The distinct, high-pitched vocalizations produced by male chickens, often described as a 'clucking' or 'crowing' sound. Typically heard in rural or suburban areas, where chickens are kept for farming or as pets, especially during early morning or dusk.	The distinct vocalizations produced by chickens and roosters, often characterized by their rhythmic, crowing calls.
Cluck	AudioSet	A short, sharp sound produced by the beak of a bird, often heard when birds are communicating or alarmed.	A rhythmic, high-pitched vocalization produced by chickens, often heard in agricultural settings or near birdhouses.	The rhythmic, low-pitched vocalizations produced by chickens, typically used for communication or warning, classified under animal vocalizations.
Crowing, cock-a-doodle-doo	AudioSet	The melodious vocalizations produced by crows, often characterized by their distinctive, repetitive pattern and pitch.	The loud, distinctive vocalization produced by a rooster, typically heard at dawn or dusk, and often associated with the start of a new day.	The loud, rhythmic vocalizations produced by crows, often used as a natural alarm or warning sound, belonging to the category of animal vocalizations.
Turkey	AudioSet	The sound of a bird's call, characterized by its distinctive, high-pitched whistle-like tone.	The distinct, resonant call of a turkey, characterized by its deep, booming tone and repetitive pattern, often heard in rural areas or during Thanksgiving celebrations. The sound is produced by the bird's vocal cords and is used for communication and territorial defense.	'The distinctive, low-pitched vocalizations produced by turkeys, often characterized by their rhythmic, repetitive nature and unique timbre, belonging to the category of animal vocalizations.'
Gobble	AudioSet	The loud, guttural sound produced by a bird or animal when consuming food, characterized by a rapid, rhythmic series of short, sharp sounds.	A loud, sharp, and short sound produced by birds, especially turkeys, when they are feeding or alarmed.	"The loud, sharp sound produced by a bird when it swallows food, often accompanied by a distinctive ""gobbling"" sound."
Duck	AudioSet	The quacking vocalizations produced by ducks, characterized by their distinctive, rhythmic pattern and high-pitched frequency.	A common waterfowl characterized by its distinctive quacking sound, often heard in or near bodies of water. Ducks are known for their distinctive quacking, which varies in pitch, rhythm, and intensity depending on the species and individual.	The quacking vocalizations produced by ducks, characterized by their distinctive rhythm and pitch, belonging to the category of animal vocalizations.
Quack	AudioSet	A short, high-pitched sound produced by the vocal cords of a duck, characterized by its distinctive rhythm and pitch.	A short, high-pitched vocalization produced by ducks, characterized by a distinctive, rhythmic pattern of rising and falling tones, often heard in or near bodies of water.	The distinctive, high-pitched vocalization produced by ducks, often used to communicate or attract prey.
Goose	AudioSet	A bird known for its distinctive, high-pitched honk sound	A loud, honking vocalization produced by geese, characterized by a series of high-pitched, rhythmic squawks, often heard in open fields or near bodies of water.	The distinctive, high-pitched vocalizations produced by geese, often characterized by their honking or squawking sounds.
Honk	AudioSet	A short, sharp sound produced by blowing air through a narrow opening, often used to signal or alert others	A loud, short, and sharp sound, often associated with car horns or other warning devices, typically heard in urban environments or during traffic congestion.	A short, sharp, and high-pitched sound produced by a car horn, often used to signal its presence or warning.
Wild animals	AudioSet	The sounds produced by various wild animals, such as roars, growls, and chirps, often characterized by their distinct patterns and pitches.	A diverse range of vocalizations and sounds produced by various wild animals, such as roars, calls, chirps, and growls, typically heard in natural environments like forests, grasslands, or wetlands.	The diverse range of sounds produced by wild animals, including calls, songs, and alarms, often used as indicators of biodiversity and ecological health.
Roaring cats (lions, tigers)	AudioSet	The loud, deep, and resonant vocalizations produced by lions and tigers, often used for communication, territorial defense, or hunting.	A loud, resonant vocalization produced by big cats, characterized by its deep, rumbling tone and distinct rhythm. Often heard in natural environments like savannas, jungles, or grasslands, especially during mating season or territorial disputes.	The loud, resonant vocalizations produced by big cats, such as lions and tigers, often characterized by their deep, rumbling quality and distinctive pitch.
Roar	AudioSet	A loud, deep, and resonant sound produced by an animal, such as a lion or a bear, often used to communicate or intimidate.	A loud, deep, and resonant sound produced by large animals, especially cats, bears, or lions, often associated with aggression or dominance. Typically heard in natural environments like forests, grasslands, or mountains.	A loud, deep, and resonant sound produced by an animal, typically a lion or a bear, often used to communicate or intimidate.
Bird	AudioSet	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	Melodic vocalizations produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Bird vocalization, bird call, bird song	AudioSet	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms.	A diverse range of vocalizations produced by birds, including calls, songs, and alarms, characterized by unique patterns, pitches, and rhythms. Typically heard in natural environments like forests, parks, or gardens, especially during early morning or dusk, where birds are communicating with each other or attracting mates.	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, and used for communication, territorial defense, or attracting mates.
Chirp, tweet	AudioSet	A short, high-pitched vocalization produced by birds, often characterized by a distinct pattern of notes.	Short, high-pitched vocalizations produced by birds, characterized by rapid, staccato bursts of sound, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	The short, high-pitched vocalizations produced by birds, often used for communication or attracting mates, classified under bird vocalizations.
Squawk	AudioSet	A loud, sharp, and short vocalization produced by birds, often used for communication or warning.	A loud, sharp, and piercing vocalization produced by birds, often used for communication, warning, or attracting mates, typically heard in natural environments like forests, parks, or gardens.	A loud, sharp vocalization produced by birds, often used for warning or communication, belonging to the category of animal vocalizations.
Pigeon, dove	AudioSet	The cooing or coo-cooing vocalizations produced by pigeons and doves, often characterized by their soft, melodic tones and repetitive patterns.	Medium-sized birds with soft feathers and cooing vocalizations, known for their ability to fly and perch on ledges or branches, commonly found in urban or rural environments.	The cooing or hooting vocalizations produced by pigeons and doves, often characterized by their soft, melodic tones and distinctive patterns, belonging to the category of bird vocalizations.
Coo	AudioSet	The soft, melodious vocalization produced by a pigeon, often used to attract mates or communicate with other pigeons.	A melodic vocalization produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	The distinctive, melodious vocalization produced by a pigeon, often used as a reference point for other bird songs.
Crow	AudioSet	The distinctive, cawing vocalizations produced by crows, often described as a loud, piercing, and repetitive sound.	A bird known for its distinctive cawing sound, characterized by its deep, resonant tones. Often heard in rural or urban areas, especially at dawn or dusk, and associated with scavenging or predatorial behavior.	The distinctive, cawing vocalizations produced by crows, often characterized by their loudness, rhythm, and distinctive pitch.
Caw	AudioSet	A crow produces a loud, piercing cawing sound, often used as a warning or alert call.	The loud, harsh vocalization produced by a crow, often used for communication, warning, or territorial defense, typically heard in rural or urban environments.	The loud, sharp, and repetitive vocalizations produced by crows, often used for warning or alerting others, belonging to the category of animal vocalizations.
Owl	AudioSet	The hooting or screeching vocalizations produced by owls, often characterized by their distinct, haunting tones and irregular rhythms.	A hooting vocalization produced by owls, characterized by its distinct, haunting, and echoic nature, often heard in forests, deserts, or rural areas at night.	The hooting or screeching vocalizations produced by owls, often used for hunting or communication, belonging to the category of bird vocalizations.
Hoot	AudioSet	A loud, short, high-pitched sound produced by an owl, often used to communicate or attract prey.	A loud, piercing vocalization produced by owls, characterized by its distinctive hooting sound. Often heard in forests, grasslands, or deserts during nighttime hours, especially when owls are hunting prey.	The distinctive, high-pitched vocalization produced by an owl, often used for hunting or communication, belonging to the category of animal vocalizations.
Bird flight, flapping wings	AudioSet	The rhythmic, flapping motion of bird wings as they fly, characterized by a distinct pattern and pitch.	The rhythmic, flapping motion of bird wings as they fly, producing a distinctive, light, and airy sound, often heard in natural environments like forests, parks, or gardens.	The rhythmic, flapping motion of bird wings during flight, often accompanied by the sound of air rushing past them.
Canidae, dogs, wolves	AudioSet	The family of carnivorous mammals that includes dogs, wolves, and other related species, characterized by their distinctive howls and vocalizations.	A group of mammals characterized by their distinctive barking vocalizations, often heard in packs, forests, or urban areas.	The howling, barking, and other vocalizations produced by dogs and wolves, classified under mammalian vocalizations.
Rodents, rats, mice	AudioSet	The squeaking, scurrying, and rustling sounds produced by rodents, often characterized by their small size and quick movements.	Small mammals known for their scurrying, squeaking, and gnawing sounds, typically found in urban or rural environments.	The general term for small, furry mammals that belong to the order Rodentia, including rats, mice, and other rodents, often characterized by their sharp teeth and agile movements.
Mouse	AudioSet	The small, high-pitched squeaks produced by a mouse, often used to alert humans to their presence or to communicate with other mice.	Small, nocturnal mammals with soft fur, pointed snouts, and sharp claws, known for their agility and adaptability. They are commonly found in urban and rural environments, often scurrying across floors, walls, and gardens.	Small, high-pitched vocalizations produced by mice, often characterized by their rapid, staccato rhythm and distinctive pitch.
Patter	AudioSet	A rhythmic, repetitive sound produced by the impact of small objects or surfaces, such as raindrops or footsteps.	A series of short, sharp sounds produced by the impact of small objects or particles against a surface, characterized by its rhythmic, staccato pattern. Often heard in rain, hail, or during manufacturing processes.	A rhythmic, repetitive sound produced by a variety of sources, such as rain, footsteps, or machinery, often characterized by a distinct pattern and intensity.
Insect	AudioSet	The buzzing, chirping, or clicking sounds produced by insects, often accompanied by the sound of their wings or legs as they fly or move.	A diverse range of sounds produced by insects, including buzzing, chirping, clicking, and humming. Often heard in natural environments like forests, grasslands, or gardens, where insects are active.	The buzzing or chirping sounds produced by insects, often characterized by their high-pitched, rapid, and rhythmic nature, belonging to the category of natural environmental sounds.
Cricket	AudioSet	The chirping sound produced by the wings of crickets, often characterized by a rhythmic, staccato pattern.	The chirping sound produced by crickets, characterized by a rhythmic, high-pitched melody, often heard in warm, humid environments like grasslands, forests, or gardens, especially during twilight or nighttime.	The continuous, rhythmic sound produced by the collision of a cricket ball and bat, often accompanied by the chirping of crickets, classified under sports-related sounds.
Mosquito	AudioSet	The high-pitched buzzing sound produced by mosquitoes, often accompanied by a faint humming or buzzing sound.	Small, high-pitched insects that produce a buzzing or humming sound when flying, often heard in outdoor environments during warm weather.	A small, buzzing insect that produces a high-pitched, rhythmic sound while flying, often associated with outdoor environments and summer nights.
Fly, housefly	AudioSet	A small, buzzing insect that produces a high-pitched, rhythmic sound while flying.	Small, buzzing insects with iridescent wings, characterized by their rapid, erratic flight patterns, often found near human habitats like kitchens or gardens.	The buzzing sound produced by houseflies while flying, characterized by its high-pitched, rapid quality, classified under insect sounds.
Buzz	AudioSet	A low-pitched, humming sound produced by the vibration of a small object, such as a bee or a motor	A low-pitched, humming sound produced by insects, often heard in gardens or forests, especially during summer months.	The low-frequency, humming sound produced by an electric device, often associated with charging or malfunctioning, categorized under electronic sounds.
Bee, wasp, etc.	AudioSet	The buzzing or humming sounds produced by bees, wasps, and other flying insects, often characterized by their high-pitched, rapid vibrations.	The buzzing or humming sound produced by bees, wasps, and other flying insects, often associated with their activity of collecting nectar or pollinating flowers.	The buzzing or humming sound produced by bees, wasps, and other flying insects, characterized by their rapid, rhythmic wing movements, often associated with natural environmental sounds.
Frog	AudioSet	The croaking sound produced by a frog, characterized by its high-pitched, trilling vocalizations.	A distinctive, high-pitched vocalization produced by frogs, characterized by a rapid, rhythmic pattern of croaking or trilling, often heard in natural environments like wetlands, forests, or near bodies of water.	The croaking sound produced by frogs, characterized by its high-pitched, rhythmic, and pulsating nature, often used as a natural soundscape element.
Croak	AudioSet	The distinctive, hoarse vocalization produced by a frog, often used to attract mates or warn predators.	A short, sharp, and hoarse vocalization produced by frogs, toads, or other amphibians. Often heard in wetland environments, such as marshes or swamps, during the breeding season.	The distinctive, low-pitched vocalization produced by frogs, often used for communication or attracting mates, belonging to the category of animal vocalizations.
Snake	AudioSet	A slithering, hissing, and sometimes buzzing sound produced by the movement of a snake's body and the vibration of its scales.	A long, slithering reptile known for its hissing or hissing-like sound, often heard when it's threatened or agitated. Snakes are also known for their distinctive body movements, which can include slithering, coiling, or stretching, depending on the species and individual.	A slithering reptile that produces a soft, hissing sound when threatened or agitated, often associated with natural environments and wildlife.
Rattle	AudioSet	The metallic, clattering sound produced by the movement of small objects or debris, often accompanied by a sharp, crackling noise.	A vibrating, shaking sound, often caused by loose parts or materials moving together, such as a car engine or a bag of marbles.	A metallic sound produced by the vibration of small objects or particles, often used in percussion instruments or as a sound effect.
Whale vocalization	AudioSet	The complex and varied vocalizations produced by whales, often characterized by their low frequencies, long durations, and intricate patterns.	The complex, melodic songs produced by humpback whales, consisting of moans, whistles, and other vocalizations, typically heard in open ocean environments.	The complex, low-frequency vocalizations produced by whales, often characterized by their distinct patterns and rhythms, belonging to the category of animal vocalizations.
Music	AudioSet	A form of art that uses sound to convey emotions, ideas, or stories, often through the use of melody, rhythm, harmony, and lyrics.	A form of art that uses sound and rhythm to create a composition, often characterized by melody, harmony, and rhythm, and typically associated with cultural or social contexts.	The melodious and rhythmic sounds produced for human enjoyment or cultural expression, often featuring complex patterns and harmonies, and typically classified under the category of music.
Musical instrument	AudioSet	An object that produces sound when played or struck, typically consisting of strings, wood, or metal.	The unique sound produced by a musical instrument, such as a guitar, piano, or trumpet, often characterized by its pitch, rhythm, and timbre.	The unique sound produced by a musical instrument, often characterized by its timbre, pitch, and rhythm, belonging to the category of musical sounds.
Plucked string instrument	AudioSet	The sound produced by plucking the strings of a stringed musical instrument, characterized by its bright, twangy tone and the individual's technique.	A musical instrument that produces sound by plucking strings, characterized by a sharp, twangy tone, often associated with instruments like the guitar or harp.	The melodic sounds produced by plucking the strings of a stringed instrument, such as a guitar or harp, characterized by their bright, twangy tones.
Guitar	AudioSet	A stringed musical instrument with a distinctive, resonant sound produced by plucking or strumming the strings.	A stringed musical instrument played by plucking or strumming the strings, producing a rich, melodic sound. Commonly used in various genres of music, including rock, pop, and folk.	The rich, resonant sound produced by strumming or plucking the strings of a guitar, often characterized by its distinct timbre and rhythm, classified under stringed instruments or musical sounds.
Electric guitar	AudioSet	A stringed musical instrument that produces a sharp, twangy sound when the strings are strummed or plucked, often used in rock and pop music.	A stringed musical instrument that produces a rich, twangy sound when an electric current is passed through its strings, often used in rock, blues, or jazz music.	A sharp, twangy sound produced by the vibration of strings when an electric guitar is played, characterized by a rich, resonant tone and occasional feedback or distortion.
Bass guitar	AudioSet	A stringed musical instrument with a deep, resonant sound, typically played with a plectrum or fingers.	A stringed musical instrument with a deep, resonant sound, typically played with fingers or a plectrum. Distinguished by its thick strings, long neck, and distinctive tone, often used in rock, jazz, and funk music.	A stringed musical instrument that produces a deep, resonant sound, often characterized by its low frequency and rich tone, classified under musical instruments.
Acoustic guitar	AudioSet	The sound produced by strumming or plucking the strings of an acoustic guitar, characterized by its warm, rich tones and the ability to produce a wide range of notes and chord progressions.	A stringed musical instrument with a hollow body, played by plucking or strumming the strings, producing a rich, resonant sound, often associated with folk, pop, or rock music.	The resonant, twangy sound produced by the strings of an acoustic guitar, often used in various genres of music, classified under musical instruments.
Steel guitar, slide guitar	AudioSet	A type of guitar with a steel or metal neck, played by sliding a metal bar or plectrum along the strings to produce a unique, twangy sound.	A stringed musical instrument characterized by its use of a slide bar to manipulate the pitch of the strings, often used in genres like country, blues, and rock. The sound is typically bright, twangy, and resonant, with a distinctive vibrato effect.	A stringed instrument with a long neck and a metal slide used to produce a distinctive, twangy sound, often associated with country and rock music.
Tapping (guitar technique)	AudioSet	A percussive technique used to play the guitar by striking the strings with the fingers, creating a sharp, rhythmic sound.	The rhythmic sound created by striking the strings of a guitar with the fingers or a plectrum, producing a percussive, melodic accompaniment. This technique is commonly used in various genres of music, including rock, pop, and jazz, and can be heard in live performances or recordings.	A rhythmic, percussive technique used in guitar playing, characterized by the rapid, alternating striking of the strings with the fingers or a plectrum, often used in rock and pop music.
Strum	AudioSet	The rhythmic, plucking sound produced by a guitar or other stringed instrument, often accompanied by a steady beat.	A melodic, percussive sound created by rapidly plucking or striking strings on a musical instrument, commonly heard in guitar music, folk songs, or pop songs.	The sound produced by rapidly plucking or strumming a stringed instrument, often characterized by its rhythm, pitch, and timbre.
Banjo	AudioSet	The resonant, twangy sound produced by a banjo, often characterized by its high-pitched notes and percussive rhythm.	The resonant, twangy sound produced by a banjo, often associated with folk music and storytelling, typically heard in outdoor settings or during cultural events.	The twangy, resonant sound produced by the strings of a banjo, often characterized by its percussive quality and use in folk music, belonging to the category of musical instruments.
Sitar	AudioSet	A plucked stringed instrument from India, characterized by its long neck and a gourd resonator, producing a rich, resonant sound.	A plucked stringed instrument, characterized by its long neck and a gourd resonator, commonly used in Indian classical music, producing a rich, resonant sound.	A stringed musical instrument from India, characterized by its long neck and distinctive resonance, often used in Indian classical music.
Mandolin	AudioSet	A stringed musical instrument, played with a plectrum, characterized by its small size, high-pitched sound, and distinctive twang.	A stringed musical instrument with a distinctive, twangy sound, often associated with folk or bluegrass music. Typically played by plucking or strumming the strings, producing a bright, melodic tone.	A stringed musical instrument with a distinctive, twangy sound, often used in folk and pop music.
Zither	AudioSet	A stringed musical instrument with a wooden frame and metal strings, played by plucking or strumming.	A stringed musical instrument with a flat wooden body and a set of strings that are plucked or strummed to produce melodic and harmonic tones. Context: The zither is commonly associated with traditional music from Europe, particularly Germany and Austria, and is often used in folk and classical music.	The melodic sound produced by plucking the strings of a zither, a stringed musical instrument with a flat wooden body and a set of strings, classified under the category of stringed instruments.
Ukulele	AudioSet	A small, stringed instrument with a distinctive, twangy sound, typically played with fingers or a plectrum.	A small, four-stringed musical instrument with a distinctive, twangy sound. The ukulele is played by strumming or plucking the strings, and its chord progressions are often simple and repetitive. It is commonly associated with Hawaiian and Latin American music, and can be heard in various settings, including bars, cafes, or street performances.	The bright, twangy sound produced by a small, four-stringed instrument, often associated with Hawaiian or Latin American music, classified under musical instruments.
Keyboard (musical)	AudioSet	The sound produced by striking keys on a musical keyboard, characterized by its rich, resonant tones and the ability to produce a wide range of notes and chords.	A musical instrument consisting of a set of keys played with fingers, producing a unique sound based on the key pressed. Often used in classical, jazz, and electronic music.	The sound produced by striking keys on a musical instrument, often characterized by its timbre and pitch, belonging to the category of musical instruments.
Piano	AudioSet	A musical instrument with a keyboard and strings, producing a rich, resonant sound when struck with the fingers, often used in classical or popular music.	A musical instrument consisting of a wooden frame with rows of strings, played by striking keys with the fingers. Produces a rich, resonant sound, often used in classical, jazz, or pop music. Typically heard in music studios, concert halls, or living rooms.	A musical instrument with strings that produce sound when struck with mallets, characterized by a rich, resonant sound and a variety of notes.
Electric piano	AudioSet	A musical instrument that produces sound by sending an electric current through a set of strings, resulting in a unique and resonant tone.	The unique, electric sound produced by an instrument that simulates the sound of a grand piano using electronic means. Often heard in jazz or pop music. Typically heard in music venues or recording studios.	The sound produced by an electronic instrument that simulates the sound of an acoustic piano, often characterized by its bright, twangy tone and versatile range, categorized as electronic instruments.
Organ	AudioSet	A musical instrument that produces sound by the vibration of pipes, typically used in classical music and religious ceremonies.	A musical instrument with a keyboard and pipes, producing a rich, resonant sound, often heard in concert halls, churches, or theaters.	A musical instrument consisting of pipes and pedals, producing a rich, resonant sound through the vibration of air.
Electronic organ	AudioSet	An electronic musical instrument that simulates the sound of an organ, often used in electronic music and sound design	An electronic musical instrument that simulates the sound of a pipe organ, characterized by its rich, resonant tones and versatile sound capabilities.	A musical instrument that produces sound through electronic means, typically featuring a keyboard and various sound sources.
Hammond organ	AudioSet	A type of electric organ with a distinctive, warm, and resonant sound, often used in jazz and blues music.	An electric keyboard instrument with a rich, resonant sound, featuring a unique vibrato effect and a wide range of tonal possibilities, often used in rock, pop, or jazz music, typically heard in music venues or recording studios.	The distinctive, resonant sound produced by a Hammond organ, characterized by its vibrato and tremolo effects, classified under musical instruments or electronic sounds.
Synthesizer	AudioSet	An electronic device that generates and manipulates sound, often used in music production and sound design, characterized by its ability to create a wide range of sounds and tones.	An electronic musical instrument that generates a wide range of sounds by combining and manipulating various waveforms, often used in music production or sound design.	An electronic musical instrument that generates sound by combining and manipulating various waveforms, often used in electronic music and sound design.
Sampler	AudioSet	A device used to record and play back a variety of sounds, often used in electronic music production.	An electronic device that records and stores audio samples, allowing users to manipulate and combine them to create new sounds or compositions.	An electronic device used to create and manipulate sounds, often used in music production.
Harpsichord	AudioSet	A keyboard instrument with strings that are plucked by a plectrum, producing a bright, resonant sound. The harpsichord is often associated with the Baroque period and is known for its intricate, ornate melodies.	A stringed musical instrument with a keyboard, typically featuring a rich, resonant sound. Often associated with Baroque music, it produces a unique, plucked sound when the strings are struck with a plectrum.	A keyboard instrument with strings that are plucked by a plectrum, often used in Baroque music, characterized by its distinctive, twangy sound.
Percussion	AudioSet	The sharp, resonant sounds produced by striking or shaking objects, often used in music and other forms of audio art.	A rhythmic, sharp, and resonant sound produced by striking or shaking an object, often used in music or other forms of art. Context: Typically heard in music studios, concert halls, or during cultural events.	The sharp, rhythmic sounds produced by striking or shaking objects, often used in music and dance.
Drum kit	AudioSet	A collection of percussion instruments, typically consisting of drums, cymbals, and other percussion instruments, played together to produce a rhythmic sound.	A collection of percussion instruments, typically consisting of drums, cymbals, and other tunable or untunable percussion instruments, used in various musical genres and performances.	A collection of percussion instruments, typically consisting of drums, cymbals, and other percussion instruments, used in music and other audio events, classified under musical instruments.
Drum machine	AudioSet	An electronic device that simulates the sound of drums, often used in electronic music production.	An electronic device that produces rhythmic sounds, often used in music production and live performances, characterized by its ability to generate various drum patterns and beats.	An electronic device used to simulate the sound of drums, often used in electronic music production.
